,Website,Review
28,yelp.com,1 More Cost Guide
29,yelp.com,"Public Transportation, Train Stations"
30,yelp.com,"Public Transportation, Train Stations"
31,yelp.com,See all 45 photos
32,yelp.com,See all 45 photos
33,yelp.com,I called Amtrak and they were running on-time and had room on the 
34,yelp.com, in the late afternoon!
35,yelp.com,Amtrak service in the 
36,yelp.com, is nothing short of outstanding.
37,yelp.com, has standard Amtrak fare so if you want something better get it at the station.
38,yelp.com,Allow our professionals to wait and or arrive curbside in a timely manner. Comfort and punctuality are what we thrive on. We guarantee a comfortable and pleasant experience. Free refreshments provided with every trip.
39,yelp.com,"""If you are thinking about doing another tour (other then this one) while in Salem...... I hate to tell you but you are wrong. Sarah (@sarah.in.salem inastagram) with Bewitched After Dark Tours is the Best of the best. This isn't…"""
40,yelp.com,"NEW ENGLAND 24/7 transportation services specializing in: New customers 10% off Airports rides ( T.F Green & Logan) Special occasions ( weddings, graduation, party...) Dr appointments Packages delivery Any other rides also…"
41,yelp.com,"Your trust is our top concern, so businesses can't pay to alter or remove their reviews. Learn more about reviews."
42,yelp.com,"Your trust is our top concern,"
43,yelp.com,so businesses can't pay to alter or remove their reviews. 
44,yelp.com,I wanted to change my reservation to get on the train ONE stop later than reserved. 15 min later at the next stop. They said only if I paid $296 extra. I was told this on more than one phone call. Total scam.
45,yelp.com,"It had been a couple of years since I last took an Amtrak train ride, and it seemed like the best option for me at the time, as I was making last minute travel plans while in Boston. I could not WAIT to leave my nightmare of a hotel so I just jumped online and found the next trip out of the city, purchased my ticket online, called a cab, and disappeared into the ether mid-day, even though I had already paid for my room for the night.I ended up booking a single traveler, privacy room from Boston to Washington, DC, and it was so comfy that I am secretly planning my next trip via Amtrak as I type this. I can't wait to get on the road again!Especially now, during the pandemic, it's really nice to not have anyone sitting next to you, getting up and down and generally being a distraction. It just so happened that I had my super comfy sleeping bag with me in my hiker's backpack, so I crawled right into it and enjoyed the luxury of the Amtrak trip. It's much, MUCH simpler than schlepping through the airport and through TSA, so I would highly suggest to anyone traveling during these uncertain times of Covid-19, to seriously consider booking your trip on the lovely Amtrak. YAY!!"
46,yelp.com,"I wish I could write a good review on Amtrak but the attitude of the employees and subarctic weather in the cars won't allow. I'm wasting my time here and will continue to be amazed and astounded by these classy people for many years to come. Way to go Amtrak, the pride shows in your work."
47,yelp.com,"Capitol Hill, Seattle, WA"
48,yelp.com,"++ Amtrak in Boston's South Station is a central location, accessible by bus, MBTA, and of course, Amtrak. You can get to anywhere you need to on the northeast US coast, and also in the city of Boston via South Station. + Amtrak provides a mobile app for ticket scanning, - decently clean seats (could be cleaner), ++ a café car, and friendly train conductors.  ++ If you've read this review up to now, your reward is now a pro cost-saving tip for anyone trying to move items cross country... AMTRAK FREIGHT SHIPPING. I shipped 306 lb of items from Boston across the country. Pricing in early 2020 is as follows: the first 1-50 lb is 85$; 51-100 lb is $95 and then additively 0.95/lb for anything 100lb+. You can't ship electronics or glass items, and no box can be over 50 lbs (they do weigh it before you pay). Payment is based on the total weight of the boxes you plan on shipping. The office hours are great, 8 AM - 7:30 PM on 7 days/week.++ Amtrak has a phone line that you can use to inquire about this service. This phone line is the only way you can get information about this service - minimal information is found on the web. The phone line folks told me my items would be palletized prior to loading onto a train. Palletization means that all your boxes get wrapped together and attached to a wooden slat and moved via forklift all at once. Decent.- The individual at South Station's Amtrak Freight Shipping office was a new kind of rude that I had not yet encountered. Keep in mind there was nobody else in line or waiting for this service. It was early morning, pretty quiet.  He informed us that my items would not be palletized, and gruffly informed to adjust the weights on our boxes as they were about 3 lb over in 1 box. The concern with not palletizing boxes in my opinion is that there is a higher chance one might separate from the rest, and might get damaged during the move. On top of that was the fact that this was simply the opposite of what we had been told about the Amtrak Freight Shipping service via phone line. Kinda bummed that Kevin was the last Bostonian I encountered before I left this storied city. Hope he's doing well tho. - There is no tracking on your items that are shipped, everything is very manual and does not seem to be very electronic - I guess this is why costs are low? Make sure you buy some insurance on your items, although nobody ever really wants to be dragged into the tedious process of getting insurance payout on damaged or lost items. Insurance is $1 per $100. ++ I dropped my stuff off late January and it arrived across country on early February in about 5 days! I had been told that a cross country move would take 4 days but up to 8-9 days due to winter and trains having to make a detour due to weather. The destination station of your items will give you a call when your items arrive. If you don't pick it up after 48 hrs of arrival to the destination, they charge $5/box/day."
49,yelp.com,"Unless you have been living under a rock for the past seven years, I am sure you have figured out my love for trains. As a frequent rider of Amtrak, I had never gotten to ride the Northeast Corridor from wire to wire (Boston to Washington, DC) until just this very moment. Riding the train between both of these cities is an exhausting, yet an exhilarating adventure that I encourage everybody to do, at least once, no matter what direction. But if you do it, do it riding the Acela. It is a much faster, more manageable trip than if you ride the Northeast Regional, which is great if you plan on starting or ending your trip in New York. Anything longer might wear you down. But I went wire to wire, city to city, departing at 11:55 am and arriving into the District just before 7 pm. There is something romantic about the train that you just cannot get from flying. The beautiful Connecticut coastlines pass you by as blue as the sky, the fall foliage in the back drop just a flicker in your eye as you zoom through Rhode Island at 150 mph, crossing the iconic Hell Gate Bridge as you make a dramatic entrance into New York City, all make for an unforgettable experience. That is not including flying through New Jersey through long stretches at 135 mph in addition to the cityscapes of Philadelphia, Wilmington, and Baltimore. Crossing the Susquehanna river always brings a tear to my eye because of how gorgeous and wide it is, even if you are only riding at 90 mph, because whether it is a clear day, rainy day, or a night only illuminated by the full moon, it is always special to make that crossing, like the great explorers crossing the seas into the great unknown, you too are crossing, but for a much smaller purpose. As you can see, this is why trains are important. They do more than just get you there, they get you there in style. Not in speed or glitz and glamour, but in a romantic, 19th century emotion that makes you not want to get off, but rather get back on and make another journey."
50,yelp.com,"South Royalton, Pomfret, VT"
51,yelp.com,Big train very fancy overnight sleep different routes like the Vermonter or the Acela Express great route and long ones like dc to Florida or Las Vegas to boston extremely great train
52,yelp.com,"Don't profile my wife and my siblings, don't get on the intercom asking who belongs in business class.RACISTASSBITCHES"
53,yelp.com,"This is a wonderful building and didn't disappoint my expectations of a train station. It is accessible from the street and the underground (we took the T from Quincy and it was easy to find). It was busy and organized. Huge ceilings and large windows let a lot of natural light in. The bathrooms were packed but there was a worker there cleaning up. There were plenty of places to get something to eat.Since my friends and I had a sleeper car, we were able to sit in the Amtrak's Acela lounge with complimentary drinks and snacks. (Tip, if you are unable to navigate the stairs, let the doorman know, there is a locked elevator around the corner they will give you access to.) They also let us know when it was time to board. I'm glad, because you couldn't hear the announcements well inside the lounge."
54,yelp.com,"Amtrak is the old reliable way to travel in Northeast corridor.   It shines when the airports are in a mess.  I waited 7 hours in Logan after my early morning flight got returned back to the gate after 1 hour on the tarmac.   Then, I endured 2 cancelled flights and no way to get back until late night due to weather.  I called Amtrak and they were running on-time and had room on the Acela in the late afternoon!    I walked out of Logan and took the Silverline to South Station - about a 15 mins ride and I was on my way home!It was a comfortable ride and I got back to NYC within 4 hours...   thanks Amtrak!"
55,yelp.com,"Had to take the Amtrak from Boston to New York after a horrible experience with Greyhound. While traveling, I was reminded why the train is the best mode of transportation between the two cities. The Northeast Corridor never has any issues, clean bathroom and decent food on board. The status of the train is clearly communicated though the app and the conductors are friendly and knowledgeable about their route. Seats are comfortable enough for sleeping and the drop down trays and outlets make it easy to work. The Amtrak internet is a little spotty, but it's free.Always try to book as early as possible to get the best price (sometimes tickets from Boston to NYC are as low as $100 round trip)"
56,yelp.com,"""I don't usually post reviews but these guys were so good that I had to write this. Wonderful service, friendly, courteous and helpful drivers. Reliable, always on time, very reasonable prices. I randomly found this cab service…"""
57,yelp.com,"""I used this service for the first time to be picked up on an early morning at the airport. The communication was excellent before the day of the pick up. I received a phone call and an email, confirming all the details. I paid over…"""
58,yelp.com,"Because we are the best for safety,clean cars, clean drivers, and very friendly…"
59,yelp.com,Offering quick safe rides through out the South Shore and beyond @ $ 1.50 mile. $5…
60,yelp.com,"Public Transportation, Train Stations"
61,yelp.com,"Public Transportation, Train Stations"
62,yelp.com,"Train Stations, Public Transportation"
63,yelp.com,"Train Stations, Public Transportation"
64,yelp.com,1 More Cost Guide
65,yelp.com,See all 45 photos
66,yelp.com,See all 45 photos
67,yelp.com,I called Amtrak and they were running on-time and had room on the 
68,yelp.com, in the late afternoon!
69,yelp.com,Amtrak service in the 
70,yelp.com, is nothing short of outstanding.
71,yelp.com, has standard Amtrak fare so if you want something better get it at the station.
72,yelp.com,Allow our professionals to wait and or arrive curbside in a timely manner. Comfort and punctuality are what we thrive on. We guarantee a comfortable and pleasant experience. Free refreshments provided with every trip.
73,yelp.com,"""I don't give five stars and am rather abrasive with my reviews (I am also glad humans don't have a review system as I'm sure I wouldn't make great marks but now I'm getting off track thanks to Black Mirror) ... where was I... oh…"""
74,yelp.com,"NEW ENGLAND 24/7 transportation services specializing in: New customers 10% off Airports rides ( T.F Green & Logan) Special occasions ( weddings, graduation, party...) Dr appointments Packages delivery Any other rides also…"
75,yelp.com,"Your trust is our top concern, so businesses can't pay to alter or remove their reviews. Learn more about reviews."
76,yelp.com,"Your trust is our top concern,"
77,yelp.com,so businesses can't pay to alter or remove their reviews. 
78,yelp.com,"I looked forward to a relaxing day aboard a train from Boston's Back Bay station to Albany, New York and then a sleeping car to Cleveland, Ohio after a long but productive week visiting clients. I was not disappointed.I booked the Amtrak tickets online. Their website is kind of clunky and the information about the amenities aboard the trains limited. An upgrade is in order. A handful of short videos that shows riders what to expect would go a long, long way to improving the experience.Train 449 from Boston to Albany was superb. A few passengers continuing via sleeper car were pulled aside and seated in what seemed to be a business class car near the front of the train. Maybe that was included in the price of the ticket but, if so, that wasn't obvious to me when I purchased the ticket and it wasn't indicated on the printout of the ticket.Seating was incredibly comfortable. Tons of leg room -- far more than you get when flying first class -- and plugs and free wifi throughout the train. Being able to stand, walk around, and visit with friends make for a pleasurable, stress free experience. The conductors were friendly and clearly had a passion for rail.Upon arrival in Albany we moved into the nice, clean station for maybe 30 minutes while the train was reconfigured. I heard that the train from Boston is literally merged with the train from New York and the combined train then continues west to Chicago with stops in a handful of cities including my destination of Cleveland.The sleeper car was great as was the sleeper car attendant, Alfred. He was friendly, eager to please, and seemed to really enjoy making the travel experience a pleasure for the riders. The cabins was roughly four feet wide, eight feet long, and 10 feet high. There were two seats, a sink, and a toilet. The seats converted into a single bed and a second single bed lowered from the ceiling with the end result being like a bunk bed. Alfred did a nice job of showing me the various amenities and talking through what I could expect after I boarded and then converted my seats into the bed when I was ready.Dinner in the dining car was included. There were roughly 10 tables with each setup for four passengers. No reservations were necessary. You just showed up, were seated, ordered, and your cooked-to-order meal then served. I was traveling alone and so could have been seated with others if there wasn't room but I ended up alone at the table. That was fine with me as I was in the midst of watching a movie on my laptop. There were some other tables were strangers shared a table and every single one of them seemed to enjoy the experience. Lots of laughter and friendships made.I wouldn't hesitate to repeat the experience. It was fun, relaxing, and a great experience."
79,yelp.com,"Utter trash, 2 guaranteed trips, 2 refunds. Do not guarantee travelling when not having the ability to do so. Had to wait in the south Boston station for hours during the 1st day then next day, just to go get a hotel room since by no choice getting stranded. Fuck Amtrak and their CEO, executives with power to make major decisions. I do not blame the employees but their higher ups."
80,yelp.com,"$300 + to travel from Stamford to Rte 128 on a Sunday morning?  Assigned seating is a joke. When I got to my seat, someone was sitting in it. Conductor told me to sit wherever I wanted. . Where should I sit in the age of Covid? i told him the rules are Amtrak's not mine. They assign the seats. He told me there's something wrong with the app. Sorry. Not my fault. Your job to fix it.  Come on! Trains are great. Being a conductor is a cool job. Try doing it."
81,yelp.com,"After venturing through the subterranean lair that is New York's Penn Station, the sight of a well lit and spacious train station was great to say the least!  The ride from New York to Boston was uneventful and I was pleased that I was able to grab a spot in the 'Quiet Car'.  The scenery along the way was just awesome and if you are not pressed for time, I highly recommend hoping aboard the Northeast Regional for the 4 hour journey to Bahstun.  It is cheap, fun and relaxing."
82,yelp.com,"I was boarding my train from PVD to BOS, Acela Express number 2164, Dec. 20th. 2019. During my boarding at PVD station I received racist profiling and profiling based on race by a black male first class conductor. I was trying to board the train, and held my iPhone on my hand showing the ticket in Apple Wallet. I showed the ticket to his face and showed my intention for boarding the first class train. However, despite the ticket in his face, he first asked me ""first class?"" and even after I pushed the ticket right in front of his face, he insisted ""are you first class on Acela 2164?"" I answered yes and let myself in. After I was seated, I heard him asking the other white male conductor to double check my ticket. When I showed my ticket in front of his face for a solid 5+ seconds. If he couldn't read then I don't think he should qualify for this job as a FIRST CLASS conductor. He should be considered a safety hazard due to his inability to respect guests, refrain from racism/profiling, and read train tickets. Afterwards the actual ticket inspector came alone and respectfully examined my tickets, which is the 3rd time I showed my tickets to board this damn train.It would be one thing if I was dressed like a bum and trying to board the train, but even in such a case after I showed him my ticket I should be allowed to board without triple checking my tickets. And I was wearing a $300 custom made leather shoes, $700 Canada Goose jacket, $300 Bose headphone, $400 Tumi bag, and $1000 Rimowa carry-on case. I was dressed very respectful, and he still doubted that I paid for my seat on this train. Which lead me to my conclusion that it could only be a racist act since I am asian and looked young. I am not aware of any regulations stating 20ish people are forbidden from riding first class on Amtrak. I am a Platinum Medallion with Delta airlines, and I fly 50+ times and spends 15k+ on flights each year. No once any airline employee doubted my right to priority boarding or seating in first class after I show them my ticket/membership card. This experience with Amtrak has convinced me that I should avoid Amtrak whenever possible and never pay for a first class ticket again. Why would I spend $100 on a half hour journey for this level of service again?"
83,yelp.com,"This is a review for the Northeast Regional train from Boston South to DC (Not Acela). I went round trip.Train there left on time, and arrive an hour late. This was apparently due to engine trouble. I did not notice anything wrong. But, stuff does happen...Train on the way back was delayed... by 10 minutes, and arrived 10 minutes early. The train itself is very clean, and, even though I went Coach, the seats were comfortable, and had a lot of legroom. I say this even though I am not a small guy by any means. While business class does not have this, I was in the quiet car. This is great!! Though I never flew, I heard lots of horror stories in relation to the noise. Here, I could listen to my music through cheap,m non-noise-canceling headphones, stare out the window, and not be disturbed. Food is alright, good enough to get you through a long train ride, (they do take credit cards) If you want your own food... pack a lunch!Bathrooms are pretty clean, especially considering this is a train, and everything that does in stays there (a little out of sight). They can be a little odor, but nothing too heavy, neither from fragrance in the blue water, neither from what people put inside it...The only thing that was a little weird was that power kept going out somewhere around CT. However, doors, WiFi, some lights, and of course brakes, still worked. Aside from the lights, outlets, and AC turning off, you would not notice. Unlike in subways, there isn't any rapid deceleration. Also, trying to sleep in a coach class seat proved to be a challenge for me. But there were a lot of people in that train who slept just fine. (this was the trian headed back, one that left at 10 at night for Boston."
84,yelp.com,I love the train.. quick and easy. It is the surge pricing that Amtrak should be ashamed of. Why is one way on a holiday weekend $162.00. ONE WAY!!!! The prices are ridiculous it ranges anywhere from 75.00 to 215.00. One way.  I have taken that train for years... At one time it was $84.00 round trip. I get that times change but a flight should not be less expensive than a train ride. Amtrak should be regulated somehow. It won't happen but should.
85,yelp.com,"Traveling to Boston, I need to arrive at the South Station to be within walking distance for an appointment at The Harvard Club (two blocks away). The Amtrak website was down, I called the toll free number. Purchased my ticket, not problem. The ticket says ""New York Penn Station to BOS (South Station).""No, there is a problem! The train arrives in Boston at the BACK BAY STATION!?! Instead of a two block walk to my meeting, IT'S TWO MILES.Standing in a snow flurry at 16 degrees was not my plan. I finally caught a cab and made it to my meeting in about 15 minutes.The train was great, just not the toll free service. Cost me $12 for the cab ride."
86,yelp.com,"I need to use a walker for distances. An Amtrak employee in Boston saw me approaching the train and instantly offered to help me board the train, found me a ""disability"" seat and made sure I was comfortable. When my train left New York, a conductor asked if I needed any assistance, either right then or when I reached my destination.  As a result, he carried my bag and walker off the train when I got off and offered to walk me to the elevator, which was quite a distance. All the Amtrak people were very pleasant and accommodating. This wasn't my first Amtrak trip and I won't hesitate to use it again when necessary. It's great to know that my disability won't stop me from travelling!"
87,yelp.com,"The ACELA is the best way to get from Boston to NYC. It's 4 hrs door to door and way more reliable than flying. Sure the flight is only an hour but, the cab to and out of the airports, the extra time to go thru security, and the potential for weather delays in winter, make flying a much more stressful and generally slower option.IMPORTANT: Ride the Acela not the regular train. The Acela is a fast Business/First only express train. Splurge on first class if you can, they feed you a better meal than you get on the plane. The regular train service is uncomfortable and slow. The Amtrak staff is a mixed bag. You sometimes get great staff and sometimes some not so great Amtrak life timers.A word of advice If this is your first time, don't take the late night train into NY Penn Station, the NYP station turns into a hotel for the homeless at night and feels more unpredictable and scary than the rebel headquarters in the Terminator movies. This is not a good first impression of NYC to carry with you."
88,yelp.com,"Because we are the best for safety,clean cars, clean drivers, and very friendly people."
89,yelp.com,"""I don't usually post reviews but these guys were so good that I had to write this. Wonderful service, friendly, courteous and helpful drivers. Reliable, always on time, very reasonable prices. I randomly found this cab service…"""
90,yelp.com,Four Winds Travel is a local travel agency that has been serving clients in the…
91,yelp.com,"""I used this service for the first time to be picked up on an early morning at the…"""
92,yelp.com,"Public Transportation, Train Stations"
93,yelp.com,"Public Transportation, Train Stations"
94,yelp.com,"Train Stations, Public Transportation"
95,yelp.com,"Train Stations, Public Transportation"
96,yelp.com,1 More Cost Guide
97,yelp.com,See all 45 photos
98,yelp.com,See all 45 photos
99,yelp.com,I called Amtrak and they were running on-time and had room on the 
100,yelp.com, in the late afternoon!
101,yelp.com,Amtrak service in the 
102,yelp.com, is nothing short of outstanding.
103,yelp.com, has standard Amtrak fare so if you want something better get it at the station.
104,yelp.com,Allow our professionals to wait and or arrive curbside in a timely manner. Comfort and punctuality are what we thrive on. We guarantee a comfortable and pleasant experience. Free refreshments provided with every trip.
105,yelp.com,"""I don't give five stars and am rather abrasive with my reviews (I am also glad humans don't have a review system as I'm sure I wouldn't make great marks but now I'm getting off track thanks to Black Mirror) ... where was I... oh…"""
106,yelp.com,"Your trust is our top concern, so businesses can't pay to alter or remove their reviews. Learn more about reviews."
107,yelp.com,"Your trust is our top concern,"
108,yelp.com,so businesses can't pay to alter or remove their reviews. 
109,yelp.com,I gotta give credit where credit is due. Octavia and  Eddie were our attendants on 2158 from NYC to Boston and they were amazing! They made out first Amtrak experience amazing
110,yelp.com,"Like most yelpers, I glide down the Amtrak tracks in an Acela train at a top speed of 150 mph on route to NYC. The journey starts off at South Station after having booked a reservation online (ranging from $100-$150 for business class). Head to a machine to print out your ticket, sign the top left and you're off. Takes less than five minutes. That is if you wrote down your confirmation number and didn't rely on technology to provide it when you swipe your card like the ones in Penn Station. Can you tell I've made this mistake before?Anyhow, hop onto a clean train (skip the first car unless you want to get snapped at for answering your phone, silent area), stake out a good seat and get settled. Feel free to kick up your legs, bust out your laptop or charge your phone cuz they've got an outlet per person. And unless you're a serious germaphobe, put away the Purell; the restrooms are clean. Gasp! For part of Connecticut the tracks hug the ocean. On the left side of the train on the way and the right side on the way back, you'll see gorgeous landscapes whizzing by. Pulling into the station at the predicted hour the dozen times I've rode the rails, and with the subway a few steps in reach there's really no reason to fly. Unless of course you enjoy waiting in those security lines."
111,yelp.com,"In general, I will always opt to take the Amtrak over buses or planes to travel in the Northeast, so if it weren't for the incident I had below, this would be a 4/5. I haven't had issues with delays though sometimes the bathrooms reek of urine by the time the train hits New York. I recently forgot a baggage on train when it got to South Station, and luckily the bag was found and returned to me. I was really happy about that, but also dismayed to find the bag completely rifled through, with several items - gifts I got from the holiday, chargers, leather gloves, a bra (?!) - missing. Because I got off at the terminal stop there's almost no chance that another passenger did this, and not a member of their staff over the 2 days it took them to tell me the bag was at South Station. So, thanks but seriously, give your staff some ethics training."
112,yelp.com,"I take Amtrak every other weekend. Last March, I broke my wrist. At first, I was able to receive assistance with lifting my bag by being placed on the train a bit earlier. A few weeks later I was told to wait and that there were conductors and staff on the train to help me. There was NO ONE on the train to help. I left my bag in the area for those with disabilities. The employee who told me there were staff on the train to help was sitting down and leaning back with legs spread wide open while saying this to me. For the first time, I was VERY DISAPPOINTED in your customer service."
113,yelp.com,"I take Amtrak every other weekend. Recently, this past March, I broke my wrist. At first, I was able to receive assistance with lifting my bag by being placed on the train a bit earlier. Today I was told to wait and that there were conductors and staff on the train to help me. There was NO ONE on the train to help. I left my bag in the area for those with disabilities. The employee who told me there were staff on the train to help was sitting down and leaning back with legs spread wide open while saying this to me. For the first time, I am VERY DISAPPOINTED in your customer service."
114,yelp.com,"I no longer travel on air in the Northeast Corridor.  Between the harassment gauntlet at TSA checkpoints, the sheer lack of courtesy and performance of US Air, the horrible delays in air transportation, having to pay for luggage, carry-ons, and almost breathing in airlines nowadays, rude and even misanthropic flight attendants, and having slave-ship seat space on crowded and smelly airplanes, Amtrak is a welcome change in today's otherwise exasperating transportation experience.  Both in Acela as well as the Amtrak Regional trains, the passenger space and comfort is at least double than that of passenger airplanes.  You have room to read and relax.  Stop by the snack car and get some munchies.  And relax and enjoy the view.  As a matter of fact, with the time in transportation to far away terminals, having to get in early for security gauntlet delays, sitting on the gate for an hour on FAA delays, and then schlepping home from another distant airport, Amtrak is a breeze.  Hands down.  The Acela I'm riding now, in addition, offers complimentary WiFi (US Air, stick it) and even awesome clam chowder by Legal Sea Foods.  What else can you ask for?"
115,yelp.com,"I am officially spoiled.  I can't imagine taking a bus to NY ever again after this truly luxurious experience.  I mean, the ticket prices are no joke, but once you're on the train you realize what that money buys you: a comfy seat that reclines, a footrest, a fold-down table, a traffic-free trip to your destination, a snack car at your disposal if you get hungry in the middle of the ride, a restroom, and my personal favorite... drum roll... electrical outlets conveniently located next to every seat!!  They don't even offer those on planes (except Virgin Atlantic I've heard, but it's defniitely uncommon)!  I plugged in my iPod while I watched a movie, as to not drain the battery, and also charged my cell phone.  How convenient!  Traffic is a non-issue, as is parking, the Amtrak takes you where you need to go and gets you there in relative style.  I took the Acela Express so I can't comment on the older trains, but it was a pretty great start and end to my weekend in NYC.  Like I said I've been spoiled, and unfortunately my wallet may see the unfortunate effects of this newest discovery, but so be it.  I highly recommend this method of travel!  I'm giving it 4 stars instead of 5 because I still think it costs more than plane tickets to LA (ie Southwest has pretty cheap fares!), but it's a great option to have."
